source_id,relationship,target_id
U1,FRIEND_OF,U2
U1,FRIEND_OF,U5
U2,FRIEND_OF,U8
U3,FRIEND_OF,U7
U4,FRIEND_OF,U1
U5,FRIEND_OF,U9
U6,FRIEND_OF,U10
U7,FRIEND_OF,U3
U8,FRIEND_OF,U4
U9,FRIEND_OF,U6
U10,FRIEND_OF,U2
U1,WORKS_AT,C1
U2,WORKS_AT,C2
U3,WORKS_AT,C3
U4,WORKS_AT,C4
U5,WORKS_AT,C5
U6,WORKS_AT,C1
U7,WORKS_AT,C2
U8,WORKS_AT,C3
U9,WORKS_AT,C4
U10,WORKS_AT,C5
U1,PURCHASED,P1
U2,PURCHASED,P3
U3,PURCHASED,P2
U4,PURCHASED,P8
U5,PURCHASED,P4
U6,PURCHASED,P5
U7,PURCHASED,P7
U8,PURCHASED,P6
U9,PURCHASED,P9
U10,PURCHASED,P10
U1,PURCHASED,P8
U2,PURCHASED,P5
U3,PURCHASED,P1
U4,PURCHASED,P3
U5,PURCHASED,P9
U6,PURCHASED,P2
U7,PURCHASED,P10
U8,PURCHASED,P4
U9,PURCHASED,P6
U10,PURCHASED,P7
